Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x302,4.943,0,8,BB,25,B7,41,70,64,DF,41
1,0x2,4.966,0,8,77,7A,78,00,00,00,00,00
1,0x210,4.991,0,2,26,FF,03,C8,00,7D,07,00
1,0x305,5.014,0,8,00,00,00,00,00,00,00,00
1,0x303,5.037,0,8,00,00,00,00,C2,DB,16,3F
1,0x0,5.06,0,8,00,00,00,00,00,00,00,28
1,0x303,5.084,0,8,00,00,00,00,1D,38,17,3F
1,0x305,5.107,0,8,00,00,00,00,00,00,00,00
1,0x208,5.13,0,2,27,FF,00,00,00,00,00,00
1,0x305,5.153,0,8,00,00,00,00,00,00,00,00
1,0x170,5.176,0,3,00,00,00,41,70,64,DF,41
1,0x305,5.199,0,8,00,00,00,00,00,00,00,00
1,0x207,5.222,0,8,28,03,86,00,96,A6,00,00
1,0x0,5.247,0,8,00,00,00,00,00,00,00,28
1,0x303,5.271,0,8,00,00,00,00,25,98,16,3F
1,0x208,5.294,0,2,28,FF,B2,63,02,00,00,01
1,0x303,5.317,0,8,00,00,00,00,8F,B2,35,40
1,0x0,5.341,0,8,00,00,00,00,00,00,00,28
1,0x304,5.364,0,8,00,00,00,00,00,00,00,00
1,0x210,5.387,0,2,28,FF,00,77,78,78,77,FF
1,0x304,5.41,0,8,00,00,00,00,00,00,00,00
1,0x305,5.433,0,8,00,00,00,00,00,00,00,00
1,0x304,5.458,0,8,00,00,00,00,00,00,00,00
1,0x521,5.484,0,6,00,0E,50,01,00,00,00,01
1,0x304,5.508,0,8,00,00,00,00,00,00,00,00
1,0x0,5.531,0,8,00,00,00,00,00,00,00,28
1,0x305,5.555,0,8,00,00,00,00,00,00,00,00
1,0x170,5.578,0,3,00,00,00,41,B0,E9,E2,41
1,0x305,5.601,0,8,00,00,00,00,00,00,00,00
1,0x303,5.624,0,8,00,00,00,00,78,5C,BB,42
1,0x3,5.647,0,8,00,33,1D,00,00,00,00,00
1,0x303,5.67,0,8,00,00,00,00,01,87,CC,42
1,0x305,5.693,0,8,00,00,00,00,00,00,00,00
1,0x303,5.718,0,8,00,00,00,00,A5,1B,DB,42
1,0x305,5.741,0,8,00,00,00,00,00,00,00,00
1,0x303,5.765,0,8,00,00,00,00,68,9A,E7,42
1,0x305,5.788,0,8,00,00,00,00,00,00,00,00
1,0x303,5.811,0,8,00,00,00,00,A4,26,F2,42
1,0x0,5.834,0,8,00,00,00,00,00,00,00,28
1,0x304,5.857,0,8,00,00,00,00,00,00,00,00
1,0x521,5.901,0,6,00,02,61,00,00,00,00,01
1,0x304,5.924,0,8,00,00,00,00,00,00,00,00
1,0x0,5.947,0,8,00,00,00,00,00,00,00,28
1,0x106,5.973,0,8,00,00,00,00,00,00,00,00
1,0x170,5.996,0,3,00,00,00,41,F0,52,E7,41
1,0x305,6.019,0,8,00,00,00,00,00,00,00,00
1,0x207,6.042,0,8,2A,02,81,00,91,A1,00,00
1,0x1,6.065,0,8,B3,CF,BF,3D,25,00,00,00
1,0x303,6.089,0,8,00,00,00,00,76,03,0A,43
1,0x305,6.12,0,8,00,00,00,00,00,00,00,00
1,0x305,6.157,0,8,00,00,00,00,00,00,00,00
1,0x304,6.18,0,8,00,00,00,00,00,00,00,00
1,0x521,6.204,0,6,00,05,2F,00,00,00,E6,41
1,0x304,6.227,0,8,00,00,00,00,00,00,00,00
1,0x0,6.252,0,8,00,00,00,00,00,00,00,28
1,0x304,6.275,0,8,00,00,00,00,00,00,00,00
1,0x171,6.299,0,8,00,00,00,00,01,00,00,01
1,0x304,6.322,0,8,00,00,00,00,00,00,00,00
1,0x0,6.345,0,8,00,00,00,00,00,00,00,28
1,0x304,6.368,0,8,00,00,00,00,00,00,00,00
1,0x305,6.391,0,8,00,00,00,00,00,00,00,00
1,0x303,6.414,0,8,00,00,00,00,FA,7A,13,43
1,0x0,6.437,0,8,00,00,00,00,00,00,00,28
