Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x214,157.299,0,2,F0,FF,FF,FF,FF,FF,00,00
1,0x5,157.313,0,8,00,00,00,BC,00,22,6A,64
1,0x305,157.326,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,157.34,0,8,00,00,00,00,00,00,00,00
1,0x304,157.354,0,8,79,5D,31,BD,00,00,00,00
1,0x305,157.367,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,157.381,0,8,00,00,00,00,00,00,00,00
1,0x304,157.394,0,8,79,5D,31,BD,00,00,00,00
1,0x1,157.407,0,8,9C,BA,A6,39,3C,00,00,00
1,0x305,157.423,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,157.437,0,8,00,00,00,00,00,00,00,00
1,0x304,157.45,0,8,79,5D,31,BD,00,00,00,00
1,0x170,157.464,0,3,00,00,00,41,80,72,0B,42
1,0x207,157.477,0,8,F1,02,83,00,93,A3,00,00
1,0x305,157.491,0,8,00,57,AA,3D,02,17,9F,C0
1,0x0,157.504,0,8,00,00,00,00,00,02,00,28
1,0x521,157.518,0,6,00,0D,FD,FF,FF,FF,00,00
1,0x305,157.531,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,157.556,0,8,79,5D,31,BD,00,00,00,00
1,0x208,157.587,0,2,F1,FF,31,BD,00,00,00,00
1,0x210,157.601,0,2,F1,FF,FF,00,00,00,6A,22
1,0x305,157.614,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,157.628,0,8,79,5D,31,BD,00,00,00,00
1,0x7,157.641,0,8,00,00,00,00,00,00,00,37
1,0x305,157.655,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,157.668,0,8,00,00,00,00,00,00,00,00
1,0x303,157.682,0,8,00,00,00,00,09,43,9E,42
1,0x305,157.695,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,157.709,0,8,77,5D,31,BD,00,00,00,00
1,0x305,157.724,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,157.738,0,8,00,00,00,00,00,00,00,00
1,0x303,157.752,0,8,00,00,00,00,1A,F3,9D,42
1,0x600,157.773,0,8,02,00,00,FF,00,FF,00,FF
1,0x305,157.795,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,157.809,0,8,77,5D,31,BD,00,00,00,00
1,0x303,157.822,0,8,00,00,00,00,BE,E2,9D,42
1,0x6,157.836,0,8,FF,FF,01,14,99,99,00,00
1,0x305,157.849,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,157.862,0,8,77,5D,31,BD,00,00,00,00
1,0x170,157.878,0,3,00,00,00,41,08,89,0A,42
1,0x305,157.892,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,157.905,0,8,00,00,00,00,00,00,00,00
1,0x303,157.919,0,8,00,00,00,00,8F,97,9D,42
1,0x305,157.932,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,157.946,0,8,79,5D,31,BD,00,00,00,00
1,0x302,157.959,0,8,0B,99,C7,41,08,89,0A,42
1,0x305,157.973,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,157.986,0,8,00,00,00,00,00,00,00,00
1,0x303,158.0,0,8,00,00,00,00,00,4F,9D,42
1,0x521,158.016,0,6,00,02,F7,FF,FF,FF,3C,00
1,0x208,158.029,0,2,F2,FF,FF,00,00,00,6A,22
1,0x210,158.043,0,2,F2,FF,02,BA,00,8A,06,00
1,0x303,158.056,0,8,00,00,00,00,25,2B,9D,42
1,0x305,158.07,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,158.083,0,8,00,00,00,00,00,00,00,00
1,0x304,158.097,0,8,77,5D,31,BD,00,00,00,00
1,0x0,158.11,0,8,00,00,00,00,00,02,00,28
1,0x207,158.124,0,8,F3,02,84,00,94,A4,00,00
1,0x305,158.137,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,158.153,0,8,00,00,00,00,7C,F4,9C,42
1,0x7FC,158.167,0,8,3D,39,00,00,3D,39,00,00
1,0x305,158.18,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,158.194,0,8,77,5D,31,BD,00,00,00,00
1,0x303,158.207,0,8,00,00,00,00,78,D7,9C,42
1,0x521,158.221,0,6,00,04,FD,FF,FF,FF,04,00
1,0x210,158.234,0,2,F3,FF,00,78,00,B0,04,00
1,0x303,158.248,0,8,00,00,00,00,9E,B5,9C,42
1,0x170,158.262,0,3,00,00,00,41,B8,FD,0A,42
1,0x600,158.275,0,8,03,00,00,00,00,00,00,00
1,0x304,158.291,0,8,77,5D,31,BD,00,00,00,00
1,0x0,158.305,0,8,00,00,00,00,00,02,00,28
1,0x7FF,158.318,0,8,01,00,00,00,00,00,00,00
1,0x305,158.332,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,158.345,0,8,79,5D,31,BD,00,00,00,00
1,0x171,158.359,0,8,00,00,0C,1C,01,00,01,01
1,0x305,158.372,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,158.386,0,8,00,00,00,00,00,00,00,00
1,0x0,158.399,0,8,00,00,00,00,00,02,00,28
1,0x521,158.413,0,6,00,06,03,00,00,00,3D,00
1,0x305,158.429,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,158.442,0,8,79,5D,31,BD,00,00,00,00
1,0x302,158.456,0,8,15,AE,C8,41,60,E7,0B,42
1,0x20C,158.469,0,2,F4,FF,00,77,78,78,78,FF
1,0x305,158.483,0,8,00,57,AA,3D,02,17,9F,C0
1,0x214,158.496,0,2,F4,FF,31,BD,00,00,00,00
1,0x3,158.51,0,8,00,00,00,00,00,00,00,00
1,0x600,158.523,0,8,00,3D,50,00,00,00,00,40
1,0x304,158.537,0,8,77,5D,31,BD,00,00,00,00
1,0x303,158.55,0,8,00,00,00,00,ED,01,9C,42
1,0x7FC,158.566,0,8,3D,39,00,00,3D,39,00,00
1,0x305,158.58,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,158.593,0,8,77,5D,31,BD,00,00,00,00
1,0x0,158.607,0,8,00,00,00,00,00,02,00,28
1,0x521,158.62,0,6,00,08,F1,FF,FF,FF,3D,00
1,0x305,158.634,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,158.647,0,8,00,00,00,00,D6,D1,9B,42
1,0x170,158.661,0,3,00,00,00,41,80,72,0B,42
1,0x7FC,158.674,0,8,3D,39,00,00,3D,39,00,00
1,0x304,158.688,0,8,77,5D,31,BD,00,00,00,00
1,0x302,158.704,0,8,15,AE,C8,41,80,72,0B,42
1,0x521,158.717,0,6,00,09,F1,FF,FF,FF,0B,42
1,0x305,158.731,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,158.744,0,8,00,00,00,00,50,94,9B,42
1,0x171,158.758,0,8,00,00,21,2B,01,00,01,01
1,0x600,158.771,0,8,02,00,00,FF,00,FF,00,FF
1,0x304,158.785,0,8,77,5D,31,BD,00,00,00,00
1,0x303,158.798,0,8,00,00,00,00,70,63,9B,42
1,0x2,158.812,0,8,78,79,78,00,00,00,00,00
1,0x305,158.825,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,158.841,0,8,77,5D,31,BD,00,00,00,00
1,0x170,158.855,0,3,00,00,00,41,08,89,0A,42
1,0x7FF,158.868,0,8,01,00,00,00,00,00,00,00
1,0x305,158.882,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,158.895,0,8,00,00,00,00,5A,33,9B,42
1,0x0,158.909,0,8,00,00,00,00,00,02,00,28
1,0x521,158.922,0,6,00,0B,00,00,00,00,3D,00
1,0x304,158.936,0,8,77,5D,31,BD,00,00,00,00
1,0x303,158.949,0,8,00,00,00,00,BE,14,9B,42
1,0x171,158.963,0,8,00,00,B9,26,01,00,01,01
1,0x305,158.979,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,158.992,0,8,00,00,00,00,91,FB,9A,42
1,0x521,159.006,0,6,00,0C,F7,FF,FF,FF,0A,42
1,0x522,159.019,0,6,01,0E,C7,3C,02,00,0A,42
1,0x7,159.033,0,8,00,00,00,00,00,00,00,37
1,0x303,159.046,0,8,00,00,00,00,95,D3,9A,42
1,0x7FC,159.06,0,8,3D,39,00,00,3D,39,00,00
1,0x305,159.073,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,159.087,0,8,77,5D,31,BD,00,00,00,00
1,0x303,159.1,0,8,00,00,00,00,22,A7,9A,42
1,0x207,159.116,0,8,F5,02,81,00,91,A1,00,00
1,0x305,159.13,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,159.143,0,8,00,00,00,00,C7,91,9A,42
1,0x700,159.157,0,8,FF,00,FF,00,00,00,6A,22
1,0x305,159.179,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,159.208,0,8,77,5D,31,BD,00,00,00,00
1,0x303,159.221,0,8,00,00,00,00,2D,87,9A,42
1,0x3,159.235,0,8,00,00,00,00,00,00,00,00
1,0x305,159.248,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,159.262,0,8,77,5D,31,BD,00,00,00,00
1,0x7FF,159.277,0,8,01,00,00,00,00,00,00,00
1,0x305,159.291,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,159.304,0,8,77,5D,31,BD,00,00,00,00
1,0x303,159.318,0,8,00,00,00,00,F5,3B,9A,42
1,0x521,159.331,0,6,00,0F,00,00,00,00,00,00
1,0x303,159.345,0,8,00,00,00,00,89,27,9A,42
1,0x208,159.358,0,2,F6,FF,C8,41,08,89,0A,42
1,0x305,159.372,0,8,00,57,AA,3D,02,17,9F,C0
1,0x214,159.385,0,2,F6,FF,00,78,00,B0,04,00
1,0x302,159.399,0,8,15,AE,C8,41,08,89,0A,42
1,0x5,159.415,0,8,00,00,00,BC,00,22,6A,64
1,0x106,159.428,0,8,00,00,00,00,00,00,00,00
1,0x303,159.442,0,8,00,00,00,00,66,EC,99,42
1,0x170,159.455,0,3,00,00,00,41,60,14,0A,42
1,0x207,159.469,0,8,F7,03,86,00,96,A6,00,00
1,0x304,159.482,0,8,77,5D,31,BD,00,00,00,00
1,0x303,159.496,0,8,00,00,00,00,24,E1,99,42
1,0x5,159.509,0,8,00,00,00,BC,00,22,6A,64
1,0x521,159.523,0,6,00,01,EE,FF,FF,FF,00,00
1,0x304,159.536,0,8,77,5D,31,BD,00,00,00,00
1,0x208,159.56,0,2,F7,FF,C8,41,D0,9F,09,42
1,0x700,159.582,0,8,FF,00,FF,00,00,00,6A,22
1,0x20C,159.596,0,2,F7,FF,00,00,00,00,00,00
1,0x303,159.609,0,8,00,00,00,00,04,B0,99,42
1,0x3,159.623,0,8,00,00,00,00,00,00,00,00
1,0x521,159.636,0,6,00,02,03,00,00,00,00,00
1,0x304,159.649,0,8,77,5D,31,BD,00,00,00,00
1,0x303,159.663,0,8,00,00,00,00,0F,80,99,42
1,0x7FC,159.676,0,8,3E,39,00,00,3E,39,00,00
1,0x305,159.69,0,8,00,57,AA,3D,02,17,9F,C0
1,0x0,159.706,0,8,00,00,00,00,00,02,00,28
1,0x521,159.719,0,6,00,03,03,00,00,00,3E,00
1,0x304,159.733,0,8,77,5D,31,BD,00,00,00,00
1,0x700,159.746,0,8,FF,00,FF,00,00,00,6A,22
1,0x171,159.76,0,8,00,00,89,17,01,00,01,01
1,0x305,159.773,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,159.787,0,8,00,00,00,00,60,3C,99,42
1,0x600,159.8,0,8,02,00,00,FF,00,FF,00,FF
1,0x521,159.814,0,6,00,04,06,00,00,00,00,00
1,0x2,159.827,0,8,78,79,78,00,00,00,00,00
1,0x303,159.843,0,8,00,00,00,00,71,22,99,42
1,0x7FC,159.857,0,8,3E,39,00,00,3E,39,00,00
1,0x305,159.87,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,159.884,0,8,79,5D,31,BD,00,00,00,00
1,0x0,159.897,0,8,00,00,00,00,00,02,00,28
1,0x3,159.911,0,8,00,00,00,00,00,00,00,00
1,0x305,159.924,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,159.938,0,8,00,00,00,00,D5,D6,98,42
1,0x700,159.951,0,8,FF,00,FF,00,00,00,6A,22
1,0x171,159.965,0,8,00,00,5D,21,01,00,01,01
1,0x304,159.981,0,8,77,5D,31,BD,00,00,00,00
1,0x302,159.994,0,8,15,AE,C8,41,60,14,0A,42
1,0x1,160.008,0,8,9C,BA,A6,39,3E,00,00,00
1,0x305,160.021,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,160.035,0,8,00,00,00,00,96,B4,98,42
1,0x600,160.048,0,8,00,3D,50,00,00,00,00,40
1,0x7FF,160.062,0,8,01,00,00,00,00,00,00,00
1,0x304,160.075,0,8,77,5D,31,BD,00,00,00,00
1,0x303,160.089,0,8,00,00,00,00,80,9C,98,42
1,0x0,160.102,0,8,00,00,00,00,00,02,00,28
1,0x7FC,160.118,0,8,3E,39,00,00,3E,39,00,00
1,0x304,160.132,0,8,77,5D,31,BD,00,00,00,00
1,0x171,160.145,0,8,00,00,C2,2C,01,00,01,01
1,0x305,160.159,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,160.172,0,8,00,00,00,00,00,00,00,00
1,0x303,160.186,0,8,00,00,00,00,D1,66,98,42
1,0x0,160.199,0,8,00,00,00,00,00,02,00,28
1,0x305,160.213,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,160.226,0,8,77,5D,31,BD,00,00,00,00
1,0x207,160.24,0,8,F8,02,81,00,91,A1,00,00
1,0x7FF,160.256,0,8,01,00,00,00,00,00,00,00
1,0x305,160.269,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,160.283,0,8,00,00,00,00,AF,2E,98,42
1,0x0,160.296,0,8,00,00,00,00,00,02,00,28
1,0x208,160.31,0,2,F8,FF,A6,00,00,39,3E,00
1,0x521,160.323,0,6,00,09,F4,FF,FF,FF,00,00
1,0x214,160.337,0,2,F8,FF,08,B1,02,73,06,00
1,0x171,160.35,0,8,00,00,4C,2E,01,00,01,01
1,0x305,160.364,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,160.377,0,8,77,5D,31,BD,00,00,00,00
1,0x0,160.393,0,8,00,00,00,00,00,02,00,28
1,0x8,160.407,0,8,77,79,78,00,00,00,00,00
1,0x305,160.42,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,160.434,0,8,00,00,00,00,71,EA,97,42
1,0x170,160.447,0,3,00,00,00,41,60,14,0A,42
1,0x305,160.461,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,160.474,0,8,77,5D,31,BD,00,00,00,00
1,0x303,160.488,0,8,00,00,00,00,58,DA,97,42
1,0x0,160.501,0,8,00,00,00,00,00,02,00,28
1,0x305,160.515,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,160.531,0,8,00,00,00,00,62,B3,97,42
1,0x171,160.544,0,8,00,00,52,10,01,00,01,01
1,0x305,160.558,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,160.571,0,8,77,5D,31,BD,00,00,00,00
1,0x303,160.585,0,8,00,00,00,00,43,9C,97,42
1,0x0,160.598,0,8,00,00,00,00,00,02,00,28
1,0x305,160.612,0,8,00,57,AA,3D,02,17,9F,C0
1,0x522,160.625,0,6,01,06,B1,3C,02,00,00,00
1,0x303,160.639,0,8,00,00,00,00,56,85,97,42
1,0x170,160.652,0,3,00,00,00,41,60,14,0A,42
1,0x305,160.668,0,8,00,57,AA,3D,02,17,9F,C0
1,0x7FC,160.682,0,8,3F,39,00,00,3F,39,00,00
1,0x20C,160.695,0,2,FA,FF,78,77,78,78,78,FF
1,0x6,160.709,0,8,FF,FF,01,14,99,99,00,00
1,0x521,160.722,0,6,00,0D,FA,FF,FF,FF,00,00
1,0x303,160.736,0,8,00,00,00,00,7E,53,97,42
1,0x214,160.749,0,2,FA,FF,C7,41,08,89,0A,42
1,0x305,160.763,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,160.776,0,8,77,5D,31,BD,00,00,00,00
1,0x0,160.789,0,8,00,00,00,00,00,02,00,28
1,0x3,160.829,0,8,00,00,00,00,00,00,00,00
1,0x521,160.843,0,6,00,0E,F4,FF,FF,FF,00,00
1,0x303,160.856,0,8,00,00,00,00,85,16,97,42
1,0x305,160.87,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,160.883,0,8,00,00,00,00,00,00,00,00
1,0x304,160.897,0,8,77,5D,31,BD,00,00,00,00
1,0x700,160.91,0,8,FF,00,FF,00,00,00,6A,22
1,0x0,160.924,0,8,00,00,00,00,00,02,00,28
1,0x305,160.937,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,160.951,0,8,00,00,00,00,D3,FA,96,42
1,0x106,160.964,0,8,00,00,00,00,00,00,00,00
1,0x303,160.977,0,8,00,00,00,00,E2,E3,96,42
1,0x0,160.99,0,8,00,00,00,00,00,02,00,28
1,0x7,161.004,0,8,00,00,00,00,00,00,00,37
1,0x208,161.017,0,2,FB,FF,00,00,00,00,00,00
1,0x210,161.031,0,2,FB,FF,31,BD,00,00,00,00
1,0x305,161.044,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,161.058,0,8,00,00,00,00,00,00,00,00
1,0x304,161.071,0,8,78,5D,31,BD,00,00,00,00
1,0x600,161.085,0,8,00,3D,50,00,00,00,00,40
1,0x0,161.098,0,8,00,00,00,00,00,02,00,28
1,0x305,161.114,0,8,00,57,AA,3D,02,17,9F,C0
1,0x303,161.128,0,8,00,00,00,00,A7,84,96,42
1,0x305,161.141,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,161.155,0,8,00,00,00,00,00,00,00,00
1,0x171,161.168,0,8,00,00,28,0E,01,00,01,01
1,0x303,161.182,0,8,00,00,00,00,D3,76,96,42
1,0x20C,161.195,0,2,FC,FF,00,00,3F,39,00,00
1,0x305,161.209,0,8,00,57,AA,3D,02,17,9F,C0
1,0x214,161.222,0,2,FC,FF,00,00,00,00,00,00
1,0x305,161.236,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,161.255,0,8,00,00,00,00,00,00,00,00
1,0x170,161.271,0,3,00,00,00,00,00,00,00,00
1,0x303,161.285,0,8,00,00,00,00,16,36,96,42
1,0x0,161.298,0,8,00,00,00,00,00,02,00,28
1,0x2,161.312,0,8,78,79,78,00,00,00,00,00
1,0x304,161.325,0,8,77,5D,31,BD,00,00,00,00
1,0x303,161.348,0,8,00,00,00,00,C7,31,96,42
1,0x207,161.369,0,8,FD,02,81,00,91,A1,00,00
1,0x305,161.383,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,161.396,0,8,77,5D,31,BD,00,00,00,00
1,0x0,161.412,0,8,00,00,00,00,00,02,00,28
1,0x305,161.425,0,8,00,57,AA,3D,02,17,9F,C0
1,0x20C,161.439,0,2,FD,FF,03,AE,00,83,06,00
1,0x214,161.452,0,2,FD,FF,C7,41,60,14,0A,42
1,0x305,161.466,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,161.479,0,8,00,00,00,00,00,00,00,00
1,0x700,161.493,0,8,FF,00,FF,00,00,00,6A,22
1,0x305,161.506,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,161.52,0,8,77,5D,31,BD,00,00,00,00
1,0x7FF,161.533,0,8,01,00,00,00,00,00,00,00
1,0x305,161.549,0,8,00,57,AA,3D,02,17,9F,C0
1,0x171,161.563,0,8,00,00,AA,12,01,00,01,01
