#datatype measurement,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#group false,false,false,false,false,false,false,false,false,false,false,false,false,false
#default _result,,,,,,,,,,,,,
tempoDoSistema,power,motor_power,torque,motor_rpm,voltage,motor_temp,controller_temp,accelerator,ready_to_drive,torque_request_disable,test_mode,regen_request,brake
10.582,0,0,-1000.0,-1000,1.0,32.5,32.3,0.0,0,1,1,0,0
10.624,0,0,-1000.0,-1000,1.0,32.5,32.3,0.0,0,1,1,0,0
10.689,0,0,-1000.0,-1000,1.0,32.5,32.3,0.0,0,1,1,0,0
10.731,0,0,-1000.0,-1000,1.0,32.5,32.3,0.0,0,1,1,0,0
10.773,0,0,-1000.0,-1000,1.0,32.5,32.3,0.0,0,1,1,0,0
10.836,0,0,-1000.0,-1000,1.0,32.5,32.3,0.0,0,1,1,0,0
10.88,0,0,-1000.0,-1000,0.7,32.3,32.3,0.0,0,1,1,0,0
10.922,0,0,-1000.0,-1000,0.7,32.3,32.3,0.0,0,1,1,0,0
10.985,0,0,-1000.0,-1000,0.7,32.3,32.3,0.0,0,1,1,0,0
11.026,0,0,-1000.0,-1000,0.7,32.3,32.3,0.0,0,1,1,0,0
11.134,0,0,-1000.0,-1000,1.0,32.3,32.3,0.0,0,1,1,0,0
11.175,0,0,-1000.0,-1000,1.0,32.3,32.3,0.0,0,1,1,0,0
11.313,0,0,-1000.0,-1000,0.9,32.3,32.3,0.0,0,1,1,0,0
11.364,0,0,-1000.0,-1000,0.9,32.3,32.3,0.0,0,1,1,0,0
11.427,0,0,-1000.0,-1000,0.9,32.3,32.3,0.0,0,1,1,0,0
11.489,0,0,-1000.0,-1000,0.9,32.3,32.3,0.0,0,1,1,0,0
11.531,0,0,-1000.0,-1000,0.8,32.3,32.3,0.0,0,1,1,0,0
11.575,0,0,-1000.0,-1000,0.8,32.3,32.3,0.0,0,1,1,0,0
11.68,0,0,-1000.0,-1000,0.8,32.3,32.3,0.0,0,1,1,0,0
11.722,0,0,-1000.0,-1000,0.8,32.3,32.3,0.0,0,1,1,0,0
11.828,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
11.87,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
11.933,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
11.975,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
12.019,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
12.082,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
12.124,0,0,-1000.0,-1000,0.8,32.3,32.0,0.0,0,1,1,0,0
12.238,0,0,-1000.0,-1000,0.9,32.3,32.0,0.0,0,1,1,0,0
12.296,0,0,-1000.0,-1000,1.1,32.3,32.0,0.0,0,1,1,0,0
12.4,0,0,-1000.0,-1000,0.8,32.3,32.0,0.0,0,1,1,0,0
12.445,0,0,-1000.0,-1000,0.7,31.8,32.0,0.0,0,1,1,0,0
12.528,0,0,-1000.0,-1000,0.7,31.8,32.0,0.0,0,1,1,0,0
12.57,0,0,-1000.0,-1000,1.0,31.8,32.0,0.0,0,1,1,0,0
12.633,0,0,-1000.0,-1000,1.0,31.8,32.0,0.0,0,1,1,0,0
12.677,0,0,-1000.0,-1000,0.8,31.8,32.0,0.0,0,1,1,0,0
12.719,0,0,-1000.0,-1000,0.8,31.8,32.0,0.0,0,1,1,0,0
12.782,0,0,-1000.0,-1000,0.8,31.8,32.0,0.0,0,1,1,0,0
12.823,0,0,-1000.0,-1000,1.1,31.8,32.0,0.0,0,1,1,0,0
12.93,0,0,-1000.0,-1000,1.1,31.8,32.0,0.0,0,1,1,0,0
12.972,0,0,-1000.0,-1000,0.7,31.9,32.0,0.0,0,1,1,0,0
13.077,0,0,-1000.0,-1000,0.7,31.9,32.0,0.0,0,1,1,0,0
13.121,0,0,-1000.0,-1000,0.7,31.9,32.0,0.0,0,1,1,0,0
13.225,0,0,-1000.0,-1000,0.7,31.9,32.0,0.0,0,1,1,0,0
13.374,0,0,-1000.0,-1000,1.0,31.9,32.0,0.0,0,1,1,0,0
13.479,0,0,-1000.0,-1000,1.0,31.9,32.0,0.0,0,1,1,0,0
13.523,0,0,-1000.0,-1000,0.9,31.9,32.0,0.0,0,1,1,0,0
13.628,0,0,-1000.0,-1000,0.9,31.9,32.0,0.0,0,1,1,0,0
13.67,0,0,-1000.0,-1000,0.8,31.9,32.0,0.0,0,1,1,0,0
13.777,0,0,-1000.0,-1000,0.8,31.9,32.0,0.0,0,1,1,0,0
13.942,0,0,-1000.0,-1000,0.8,32.3,32.0,0.0,0,1,1,0,0
14.091,0,0,-1000.0,-1000,1.1,32.3,32.0,0.0,0,1,1,0,0
14.175,0,0,-1000.0,-1000,0.9,32.3,32.0,0.0,0,1,1,0,0
14.219,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
14.323,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
14.472,0,0,-1000.0,-1000,0.7,32.3,31.9,0.0,0,1,1,0,0
14.577,0,0,-1000.0,-1000,0.9,32.2,32.0,0.0,0,1,1,0,0
14.618,0,0,-1000.0,-1000,0.9,32.2,32.0,0.0,0,1,1,0,0
14.733,0,0,-1000.0,-1000,0.9,32.2,32.0,0.0,0,1,1,0,0
14.791,0,0,-1000.0,-1000,0.7,32.2,32.0,0.0,0,1,1,0,0
14.897,0,0,-1000.0,-1000,0.7,32.2,32.0,0.0,0,1,1,0,0
15.023,0,0,-1000.0,-1000,1.0,32.2,31.9,0.0,0,1,1,0,0
15.172,0,0,-1000.0,-1000,0.9,32.2,31.9,0.0,0,1,1,0,0
15.321,0,0,-1000.0,-1000,0.8,32.2,31.9,0.0,0,1,1,0,0
15.467,0,0,-1000.0,-1000,1.0,32.2,31.9,0.0,0,1,1,0,0
15.616,0,0,-1000.0,-1000,1.1,32.1,31.9,0.0,0,1,1,0,0
15.721,0,0,-1000.0,-1000,0.9,32.1,31.9,0.0,0,1,1,0,0
15.765,0,0,-1000.0,-1000,0.8,32.1,31.9,0.0,0,1,1,0,0
15.869,0,0,-1000.0,-1000,0.8,32.1,31.9,0.0,0,1,1,0,0
16.025,0,0,-1000.0,-1000,0.8,32.1,31.8,0.0,0,1,1,0,0
16.216,0,0,-1000.0,-1000,1.0,32.1,31.8,0.0,0,1,1,0,0
16.32,0,0,-1000.0,-1000,0.8,32.1,31.8,0.0,0,1,1,0,0
16.362,0,0,-1000.0,-1000,0.8,32.1,31.8,0.0,0,1,1,0,0
16.469,0,0,-1000.0,-1000,0.8,32.1,31.8,0.0,0,1,1,0,0
16.51,0,0,-1000.0,-1000,1.0,32.0,31.8,0.0,0,1,1,0,0
16.627,0,0,-1000.0,-1000,1.0,32.0,31.8,0.0,0,1,1,0,0
16.78,0,0,-1000.0,-1000,1.4,32.0,31.8,0.0,0,1,1,0,0
16.867,0,0,-1000.0,-1000,1.1,32.1,31.8,0.0,0,1,1,0,0
17.013,0,0,-1000.0,-1000,0.8,32.1,31.8,0.0,0,1,1,0,0
17.162,0,0,-1000.0,-1000,0.8,32.1,31.8,0.0,0,1,1,0,0
17.334,0,0,-1000.0,-1000,1.0,32.2,31.9,0.0,0,1,1,0,0
17.438,0,0,-1000.0,-1000,1.0,32.2,31.9,0.0,0,1,1,0,0
17.48,0,0,-1000.0,-1000,0.8,32.2,31.9,0.0,0,1,1,0,0
17.566,0,0,-1000.0,-1000,0.8,32.2,31.9,0.0,0,1,1,0,0
17.607,0,0,-1000.0,-1000,1.1,32.2,31.9,0.0,0,1,1,0,0
17.712,0,0,-1000.0,-1000,1.1,32.2,31.9,0.0,0,1,1,0,0
17.861,0,0,-1000.0,-1000,1.1,32.2,31.9,0.0,0,1,1,0,0
18.01,0,0,-1000.0,-1000,1.2,32.3,31.9,0.0,0,1,1,0,0
18.114,0,0,-1000.0,-1000,0.9,32.3,31.9,0.0,0,1,1,0,0
18.158,0,0,-1000.0,-1000,0.9,32.3,31.9,0.0,0,1,1,0,0
18.263,0,0,-1000.0,-1000,0.9,32.3,31.9,0.0,0,1,1,0,0
18.412,0,0,-1000.0,-1000,1.0,32.2,31.9,0.0,0,1,1,0,0
18.558,0,0,-1000.0,-1000,1.1,32.2,32.0,0.0,0,1,1,0,0
18.707,0,0,-1000.0,-1000,0.8,32.1,31.9,0.0,0,1,1,0,0
18.855,0,0,-1000.0,-1000,1.1,32.1,31.9,0.0,0,1,1,0,0
18.96,0,0,-1000.0,-1000,1.0,32.0,31.9,0.0,0,1,1,0,0
19.109,0,0,-1000.0,-1000,0.7,32.1,31.9,0.0,0,1,1,0,0
19.257,0,0,-1000.0,-1000,1.0,32.0,31.8,0.0,0,1,1,0,0
19.569,0,0,-1000.0,-1000,0.9,32.3,31.8,0.0,0,1,1,0,0
19.783,0,0,-1000.0,-1000,0.7,32.3,32.0,0.0,0,1,1,0,0
19.932,0,0,-1000.0,-1000,1.1,32.3,32.0,0.0,0,1,1,0,0
20.057,0,0,-1000.0,-1000,0.9,32.3,31.9,0.0,0,1,1,0,0
20.206,0,0,-1000.0,-1000,0.9,32.3,31.9,0.0,0,1,1,0,0
20.944,0,0,-1000.0,-1000,0.7,32.1,31.9,0.0,0,1,1,0,0
21.051,0,0,-1000.0,-1000,1.2,32.1,31.9,0.0,0,1,1,0,0
21.093,0,0,-1000.0,-1000,0.8,32.1,31.5,0.0,0,1,1,0,0
21.198,0,0,-1000.0,-1000,1.0,32.1,31.3,0.0,0,1,1,0,0
21.242,0,0,-1000.0,-1000,1.0,32.1,31.3,0.0,0,1,1,0,0
21.347,0,0,-1000.0,-1000,1.0,32.1,31.4,0.0,0,1,1,0,0
21.389,0,0,-1000.0,-1000,1.0,32.1,31.4,0.0,0,1,1,0,0
21.454,0,0,-1000.0,-1000,1.0,32.1,31.4,0.0,0,1,1,0,0
21.496,0,0,-1000.0,-1000,1.3,32.3,31.3,0.0,0,1,1,0,0
21.538,0,0,-1000.0,-1000,1.3,32.3,31.3,0.0,0,1,1,0,0
21.6,0,0,-1000.0,-1000,1.3,32.3,31.3,0.0,0,1,1,0,0
21.642,0,0,-1000.0,-1000,0.8,32.3,31.3,0.0,0,1,1,0,0
21.687,0,0,-1000.0,-1000,0.8,32.3,31.3,0.0,0,1,1,0,0
21.749,0,0,-1000.0,-1000,0.8,32.3,31.3,0.0,0,1,1,0,0
21.791,0,0,-1000.0,-1000,0.8,32.3,31.4,0.0,0,1,1,0,0
