#datatype measurement,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
#group false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#default _result,,,,,,,,,,,,,,
tempoDoSistema,power,motor_power,torque,motor_rpm,voltage,motor_temp,controller_temp,accelerator,ready_to_drive,torque_request_disable,test_mode,regen_request,brake
13.706,0,0,0.0,0,139.6,37.6,30.3,0.0,0,1,1,0,32768
13.846,0,0,0.0,0,139.6,37.0,30.1,0.0,0,1,1,0,32768
14.105,0,0,0.0,0,139.2,37.2,30.1,0.0,0,1,1,0,32768
14.299,0,0,0.0,0,139.8,37.3,30.3,0.0,0,1,1,0,32768
14.496,0,0,0.0,0,139.4,37.7,30.3,0.0,0,1,1,0,32768
14.758,0,0,0.0,0,139.3,38.0,30.4,0.0,0,1,1,0,32768
14.896,14,0,0.0,0,139.5,38.0,30.4,0.0,0,1,1,0,32768
15.1,101,-1,-0.7000000000000455,2,139.7,38.4,30.4,0.0,0,1,1,0,32768
15.155,135,0,0.2999999999999545,5,139.7,38.4,30.4,0.0,0,1,1,0,32768
15.296,211,0,0.20000000000004547,6,139.2,38.4,30.5,0.0,0,1,1,0,32768
15.553,342,0,0.20000000000004547,5,139.5,39.2,30.5,0.0,0,1,1,0,32768
15.997,540,0,0.39999999999997726,12,138.7,39.0,30.3,0.0,0,1,1,0,32768
16.224,518,0,0.39999999999997726,15,139.1,38.9,30.1,0.0,0,1,1,0,32768
17.395,4826,658,58.200000000000045,108,133.1,38.2,30.1,0.0,0,1,1,0,32768
17.989,6484,2173,53.700000000000045,386,130.0,38.3,30.3,0.0,0,1,1,0,32768
18.051,6665,2240,53.40000000000009,400,129.5,38.3,30.3,0.0,0,1,1,0,32768
18.193,7074,2722,55.799999999999955,465,129.4,38.3,30.3,0.0,0,1,1,0,32768
18.248,6527,2640,52.299999999999955,481,130.1,38.5,30.3,0.0,0,1,1,0,32768
18.387,7037,3123,54.200000000000045,549,130.1,38.5,30.3,0.0,0,1,1,0,32768
18.442,6864,3162,53.799999999999955,560,128.0,38.5,30.3,0.0,0,1,1,0,32768
18.589,7459,3691,55.200000000000045,638,128.0,38.5,30.3,0.0,0,1,1,0,32768
18.644,7045,3716,55.09999999999991,643,126.8,38.3,30.3,0.0,0,1,1,0,32768
18.699,7857,3932,56.0,669,126.8,38.3,30.3,0.0,0,1,1,0,32768
18.84,7796,4087,53.59999999999991,727,126.8,38.3,30.3,0.0,0,1,1,0,32768
19.044,7412,4468,52.799999999999955,807,126.3,38.3,30.3,0.0,0,1,1,0,32768
19.099,7704,4364,49.90000000000009,833,124.8,38.4,30.3,0.0,0,1,1,0,32768
19.293,9281,5322,55.299999999999955,918,123.5,38.3,30.3,0.0,0,1,1,0,32768
19.433,8185,5323,51.59999999999991,983,123.5,38.3,30.3,0.0,0,1,1,0,32768
19.511,9462,5289,50.5,998,121.7,38.4,30.4,0.0,0,1,1,0,32768
19.713,9491,6118,54.299999999999955,1074,123.5,38.6,30.4,0.0,0,1,1,0,32768
19.796,9094,6104,52.299999999999955,1114,123.5,38.6,30.4,0.0,0,1,1,0,32768
