tempoDoSistema,power,motor_power,torque,motor_rpm,current,inverter_temp,motor_temp,accelerator,ready_to_drive
56.99,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.6,0.0,1
57.089,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.7,0.0,1
57.186,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.7,0.0,1
57.317,0.0,0.0,0.2999999999999545,21.0,0.0,28.6,33.7,0.0,1
57.424,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
57.72,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
57.818,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.8,0.0,1
59.66,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
59.76,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
59.857,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
59.955,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.8,0.0,1
60.053,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.8,0.0,1
60.418,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
60.516,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
60.614,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
60.712,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
60.812,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
60.909,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
61.008,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
61.108,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
61.221,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
61.319,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
61.419,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
61.556,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
61.854,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.6,0.0,1
61.952,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.6,0.0,1
62.05,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.6,0.0,1
62.154,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.6,0.0,1
62.251,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.6,0.0,1
62.472,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
62.57,0.0,0.0,0.2999999999999545,21.0,0.0,28.7,33.7,0.0,1
62.7,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
62.8,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.6,0.0,1
62.898,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
62.996,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
